['2025-05-07-13-42-25_0', [1, 100]]
['2025-05-07-13-44-54_0', [1, 100]]
['2025-05-07-13-47-23_0', [1, 100]]
['2025-05-07-13-49-54_0', [1, 100]]
['2025-05-07-13-52-24_0', [1, 100]]
['2025-05-07-13-54-56_0', [1, 100]]
['2025-05-07-13-57-25_0', [1, 100]]
['2025-05-07-13-59-55_0', [1, 100]]
['2025-05-07-14-02-23_0', [1, 100]]
['2025-05-07-14-04-53_0', [1, 100]]
['2025-05-07-14-07-23_0', [1, 100]]
['2025-05-07-14-09-52_0', [1, 100]]
['2025-05-07-14-12-23_0', [1, 100]]
['2025-05-07-14-14-52_0', [1, 100]]
['2025-05-07-14-17-20_0', [1, 100]]
['2025-05-07-14-19-50_0', [1, 100]]
['2025-05-07-14-22-20_0', [1, 100]]
['2025-05-07-14-24-48_0', [1, 100]]
['2025-05-07-14-27-18_0', [1, 100]]
['2025-05-07-14-29-46_0', [1, 100]]
['2025-05-07-14-32-15_0', [1, 100]]
['2025-05-07-14-34-45_0', [1, 100]]
['2025-05-07-14-37-13_0', [1, 100]]
['2025-05-07-14-39-42_0', [1, 100]]
['2025-05-07-14-42-10_0', [1, 100]]
['2025-05-07-14-44-39_0', [1, 100]]
['2025-05-07-14-47-10_0', [1, 100]]
['2025-05-07-14-49-38_0', [1, 100]]
['2025-05-07-14-52-06_0', [1, 100]]
['2025-05-07-14-54-36_0', [1, 100]]
['2025-05-07-14-57-04_0', [1, 100]]
['2025-05-07-14-59-35_0', [1, 100]]
['2025-05-07-15-02-04_0', [1, 100]]
['2025-05-07-15-04-33_0', [1, 100]]
['2025-05-07-15-07-02_0', [1, 100]]
['2025-05-07-15-09-31_0', [1, 100]]
['2025-05-07-15-11-59_0', [1, 100]]
['2025-05-07-15-14-29_0', [1, 100]]
